name,council,reason
James Hodges,Staffordshire,missing_register_url
Ian Cooper,Staffordshire,missing_register_url
Janet Higgins,Staffordshire,missing_register_url
Jon Pendleton,Staffordshire,missing_register_url
Lynn Dean,Staffordshire,missing_register_url
Mark Nixon,Staffordshire,missing_register_url
Marie Shortland,Staffordshire,missing_register_url
Martin Murray,Staffordshire,missing_register_url
Martin Rogerson,Staffordshire,missing_register_url
Matthew Wallens,Staffordshire,missing_register_url
Michael Carver,Staffordshire,missing_register_url
Neil Parton,Staffordshire,missing_register_url
Michelle Woods,Staffordshire,missing_register_url
Mike Broom,Staffordshire,missing_register_url
Nicholas Lakin,Staffordshire,missing_register_url
Nicholas Thompson,Staffordshire,missing_register_url
Patrick Allen,Staffordshire,missing_register_url
Paul Jones,Staffordshire,missing_register_url
Rhys Machin,Staffordshire,missing_register_url
Paul Williams,Staffordshire,missing_register_url
Rhys Mandry,Staffordshire,missing_register_url
Peter Mason,Staffordshire,missing_register_url
Robin Hall,Staffordshire,missing_register_url
Sean Bagguley,Staffordshire,missing_register_url
Su Beardmore,Staffordshire,missing_register_url
Sonny Edwards,Staffordshire,missing_register_url
Wayne Luca,Staffordshire,missing_register_url
Thomas Baker,Staffordshire,missing_register_url
Warwick McKenzie,Staffordshire,missing_register_url
Tracey Dougherty,Staffordshire,missing_register_url
Sarah Whalley-Hoggins,Stratford-on-Avon,missing_register_url
Bente Height,Somerset,missing_register_url
Marcus Barr,Somerset,missing_register_url
Wayne Titley,Staffordshire,missing_register_url
Christopher Hudson,Suffolk,missing_register_url
Chris Palmer,Swale,missing_register_url
Peter MacDonald,Swale,missing_register_url
Richard Palmer,Swale,missing_register_url
Kieran Mishchuk,Swale,missing_register_url
Lloyd Chapman,Swale,missing_register_url
Aimee Keteca,Tendring,missing_register_url
Stephen Horner,Teignbridge,missing_register_url
Allan Hopwood,Tameside,missing_register_url
James Codling,Tendring,missing_register_url
Bradley Thompson,Tendring,missing_register_url
Jeff Bray,Tendring,missing_register_url
Richard Everett,Tendring,missing_register_url
Michael Bush,Tendring,missing_register_url
Peter Harris,Tendring,missing_register_url
Heather Asker,Uttlesford,missing_register_url
Anne-Marie Sonko,Warwickshire,missing_register_url
Dale Bridgewater,Warwickshire,missing_register_url
Chris Morris,Warwickshire,missing_register_url
Edward Harris,Warwickshire,missing_register_url
Darren Cheshire,Warwickshire,missing_register_url
Dan Glover,Warwickshire,missing_register_url
George Finch,Warwickshire,missing_register_url
Jennifer Warren,Warwickshire,missing_register_url
John Waine,Warwickshire,missing_register_url
James Crocker,Warwickshire,missing_register_url
Luke Cooper,Warwickshire,missing_register_url
Luke Shingler,Warwickshire,missing_register_url
Michael Bannister,Warwickshire,missing_register_url
Neil Garland,Warwickshire,missing_register_url
Nigel Golby,Warwickshire,missing_register_url
Rob Howard,Warwickshire,missing_register_url
Robert Aitkenhead,Warwickshire,missing_register_url
Robert Gisbourne,Warwickshire,missing_register_url
Scott Cameron,Warwickshire,missing_register_url
Stan Carvell,Warwickshire,missing_register_url
Adam Smith,West Northamptonshire,missing_register_url
Adrian Cartwright,West Northamptonshire,missing_register_url
Stephen Shaw,Warwickshire,missing_register_url
Adrian Little,West Northamptonshire,missing_register_url
Alexander McMurtry,West Northamptonshire,missing_register_url
Stuart Green,Warwickshire,missing_register_url
Andrew Last,West Northamptonshire,missing_register_url
Anthony Lock,West Northamptonshire,missing_register_url
Wayne Briggs,Warwickshire,missing_register_url
Cameron Emery,West Northamptonshire,missing_register_url
Anthony Owens,West Northamptonshire,missing_register_url
Caroline Phillips,West Northamptonshire,missing_register_url
